Path,ACE,Ql,Qu
"['Mission_success', 'DWA_new_plan', 'xy_goal_tolerance']",2.6625744664790925,1.412709608111196,3.0030587919919127
"['Mission_success', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,2.396298754775488,3.1593156196184813
"['Mission_success', 'RNS', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,0.026191759614303062,3.364572135731588
"['Mission_success', 'DWA_failed', 'xy_goal_tolerance']",2.6625744664790925,1.340493686010588,4.764247943761333
"['Battery_percentage', 'Mission_time', 'Combination_method_global']",1.2769176843057581,3.1937292493824363,2.3304710681475127
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'Publish_frequency_global']",1.2118640131159424,2.263120112337435,0.9139261291799656
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'Publish_frequency_global']",1.2118640131159424,1.9458846524935052,0.12977349767587334
"['Battery_percentage', 'RNS', 'Error_rotating_goal', 'Publish_frequency_global']",1.2118640131159424,3.0247568603591697,2.066320913624238
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'Publish_frequency_global']",1.2118640131159424,2.4490053464629162,0.8217811995711172
"['Battery_percentage', 'Traveled_distance', 'Publish_frequency_global']",1.2118640131159424,1.990002311657254,0.3207352212917796
"['Battery_percentage', 'Error_rotating_goal', 'Publish_frequency_global']",1.2118640131159424,3.4487974723941006,0.8004210502944872
"['Battery_percentage', 'Error_rotating_goal', 'Combination_method_local']",1.1545047489824043,0.8285133978256439,2.7964916031898257
"['Battery_percentage', 'RNS', 'Error_rotating_goal', 'Combination_method_local']",1.1545047489824043,1.0963470198676304,5.740112075853008
"['Battery_percentage', 'Traveled_distance', 'Combination_method_local']",1.1545047489824043,0.8593737009118527,1.0987628204497752
"['Battery_percentage', 'Combination_method_local']",1.1545047489824043,1.8101130739025648,5.6178582831708335
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'Combination_method_local']",1.1545047489824043,0.4493028224433743,5.187295476040263
