Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
14,16,20,2.42,0,14,0.22,8,1,1,1.14,24.11,11.03,0.11,0.04,0.13,0.16,-0.02,771,795,10,0,0,0.89,95.8,95.5,0
6,18,11,3.04,0,30,0.69,7,3,0,4.9,42.07,13.92,0.24,0.1,0.13,0.04,-0.13,0,883,2,0,0.8,16.96,201.08,70.37,0
1,4,9,3.65,0,2,0.84,8,19,0,4.09,45.37,20.58,0.23,0.07,0.07,0.07,-0.28,170,837,4,155,0.6,12.22,148.45,82.88,0
6,9,18,1.14,1,30,0.96,3,7,0,4.72,35.13,9.96,0.06,0.03,0.23,0.07,-0.19,0,625,2,0,0.8,14.05,148.81,78.14,0
11,14,7,3.96,1,11,0.45,11,18,1,4.17,15.17,12.29,0.2,0.08,0.14,0.09,-0.19,0,1365,4,0,0.8,22.1,311.81,53.09,0
24,20,5,1.45,0,12,0.59,10,10,1,0.3,21.06,36.24,0.23,0.03,0.1,0.02,-0.13,7,1514,6,0,0.6,25.93,355.28,46.93,0
4,9,14,2.11,0,15,1,9,10,1,2.82,42.51,23.44,0.29,0.07,0.09,0.06,-0.06,306,715,3,0,0.8,9.85,140.96,83.71,0
5,19,18,2.46,0,13,0.73,10,8,1,2.18,40.47,35.02,0.47,0.03,0.18,0.2,-0.21,0,440,0,0,1,11.59,98.79,85.94,1
6,2,15,4,1,1,0.35,9,20,1,1.3,47.16,28.85,0.23,0.06,0.29,0.13,-0.24,6,1026,6,154,0.6,15.12,227.11,68.28,0
8,7,11,2.55,1,27,0.32,7,10,0,1.85,9.2,36.28,0.42,0.08,0.08,0.14,-0.06,926,1011,12,0,0,1.95,162.84,86.92,0
