Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
6,7,2,0.7,0.04,0,4,6,4,4,0,1.13,0.02,0.85,0.84,0.05,0.29,0.16,0.31,-0.25,6,9,0,4,4,0,0,0,3.04E-05,1.52E-05,1.18E-05,0.29,0.6,19.75,0,169.5,61.96,0
16,6,1,0.2,0.05,0,17,9,7,3,1,0.71,0.04,0.28,0.87,0.01,0.18,0.2,0.2,-0.16,6,11,0,0,0,0,0,0,5.57E-05,2.78E-05,1.67E-05,0.19,1,15.91,0,62.8,81.56,1
10,6,4,1,0.01,0,20,1,7,4,0,1.73,0.02,0.14,0.54,0.05,0.27,0.17,0.38,-0.13,1,6,0,0,0,0,0,0,5.85E-05,2.93E-05,1.95E-05,0.34,1,19.45,0,100.33,68.26,1
6,5,4,0.47,0.03,0,3,1,6,1,0,1.52,0.05,0.35,0.84,0.03,0.26,0.14,0.34,-0.2,82,165,80,4,4,0,80,80,2.72E-05,1.36E-05,1.05E-05,0.31,0.8,15.26,0,119.56,72.99,0
5,7,2,1.38,0.01,1,8,6,7,1,0,1.56,0.03,0.1,1.11,0.04,0.16,0.14,0.12,-0.23,0,5,0,0,0,0,0,0,1.92E-05,9.61E-06,6.11E-06,0.1,1,21.08,0,114.68,63.55,1
12,7,4,0.88,0.01,1,13,10,5,1,1,1.36,0.04,0.3,0.95,0.03,0.2,0.22,0.38,-0.16,83,87,0,2,2,0,0,0,4.05E-05,2.02E-05,1.28E-05,0.36,0.8,12.87,0,80.53,80.92,0
3,7,2,1.31,0.03,0,2,10,5,1,1,0.72,0.03,0.65,1.46,0.01,0.24,0.24,0.12,-0.21,104,108,0,2,2,0,0,0,3.86E-05,1.93E-05,1.33E-05,0.11,0.8,15.92,0,92.89,77.88,0
5,5,1,0.69,0.02,0,17,1,6,1,0,1.66,0.04,0.47,1.13,0.03,0.26,0.26,0.29,-0.03,80,84,0,2,2,0,0,0,6.91E-05,3.46E-05,2.18E-05,0.25,0.8,12.4,0,67.66,84.99,0
19,7,1,0.7,0.04,0,14,6,5,3,0,1.26,0.01,0.14,1.46,0.04,0.21,0.11,0.15,-0.12,7,9,0,6,7,0,0,0,4.06E-05,2.03E-05,1.57E-05,0.12,0.6,29.2,0,309.56,23.29,0
10,6,4,1.35,0.02,1,20,9,4,1,1,1.5,0.02,0.63,1.11,0.02,0.19,0.16,0.34,-0.18,2,7,0,0,0,0,0,0,5.89E-05,2.94E-05,1.93E-05,0.31,1,16.54,0,66.58,79.98,1
